id,priority,family,eco,name,pgn,why_it_matters,white_plan,black_plan,middlegame_tabia,key_ideas,common_traps,avoid,tags,related
qgd_tarrasch,A,Queen’s Gambit Declined,D32-D34,Tarrasch Defense,1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6,Важнейшая IQP-структура для чёрных.,"Блокировать изолятор d5, разменивать активные фигуры, давить на d5.","Использовать активность IQP: ...Nc6, ...cxd4, ...Bg4, ...Nf6.","Изолированная пешка d5: чёрные активнее в миттельшпиле, слабее в эндшпиле.","Tarrasch — защита для активной игры, не для пассивной блокады.",,,,
qgd_semi_tarrasch,B,Queen’s Gambit Declined,D40-D42,Semi-Tarrasch Defense,1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. cxd5 Nxd5,Солидная альтернатива Tarrasch без изолятора в той же форме.,"Развиваться, e4 в нужный момент, использовать пространство.","Разменять центр, получить активные фигуры и равную структуру.",Борьба за e4/e5 и темпы развития.,"Чёрные снимают напряжение конём, а не пешкой, чтобы избежать классического IQP.",,,,
slav_main,A,Slav Defense,D10-D19,Slav Defense — Main Line,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. e3,Одна из главных защит на 1.d4; важно понимать ход ...dxc4.,"Вернуть пешку c4 через e3/Bxc4, развиться, не дать ...b5 удержать пешку.","Сохранить слона c8 активным через ...Bf5, иногда удерживать c4.","Чёрные получают крепкую структуру, белые — пространство и темпы против c4.",a4 мешает ...b5 и помогает вернуть пешку.,,,,
slav_exchange,B,Slav Defense,D10-D14,Slav Defense — Exchange Variation,1. d4 d5 2. c4 c6 3. cxd5 cxd5 4. Nc3 Nf6 5. Bf4,"Часто выбирают для простоты; нужно знать, как делать позицию живой.","Развить Bf4, e3, Nf3; играть на маленькие темпы.","Симметрия, но можно играть ...Nc6, ...Bf5, ...e6, активные фигуры.","Почти симметричная структура: выигрывает тот, кто лучше расставит фигуры.","Чёрным не соглашаться на пассивную копию, а развивать слона активно.",,,,
semi_slav_meran,A,Semi-Slav Defense,D45-D49,Semi-Slav — Meran Variation,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 Nbd7 6. Bd3 dxc4 7. Bxc4 b5,Критическая полузакрытая система: чёрные получают активную ферзевую игру.,"Развиться, e4 в нужный момент, использовать центр против ...b5.","...dxc4 и ...b5 выигрывают темпы, затем ...Bb7 и ...c5.",Чёрные расширяются на ферзевом фланге; белые стремятся к центральному e4.,"В Meran чёрные не просто берут пешку, а получают темпы на слоне.",,,,
semi_slav_moscow_botvinnik,A,Semi-Slav Defense,D43-D44,Semi-Slav — Moscow / Botvinnik Complex,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 h6 6. Bh4 dxc4,Острая теория Semi-Slav; приложение должно предупреждать о глубокой тактике.,"Bg5 провоцирует ...h6; дальше либо e4, либо спокойные схемы.","...h6, ...dxc4, иногда ...g5; активная, но рискованная игра.",Тактические позиции с нарушенной структурой и инициативой.,После 5.Bg5 нужно знать конкретный репертуар: Moscow или Botvinnik.,,,,
qga_main,A,Queen’s Gambit Accepted,D20-D29,Queen’s Gambit Accepted — Main Line,1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. e3 e6 5. Bxc4 c5,"Чёрные принимают пешку, но обычно не удерживают её любой ценой.","Вернуть c4, быстро развиться, использовать центр.","Вернуть пешку в обмен на темпы, играть ...c5 и ...e6.",Открытая ферзевая игра: центр и развитие важнее пешки c4.,"QGA — не «выигрыш пешки», а способ быстро ударить по центру.",,,,
albin_countergambit,B,Queen’s Gambit,D08-D09,Albin Countergambit,1. d4 d5 2. c4 e5 3. dxe5 d4 4. Nf3 Nc6,"Редкий, но опасный гамбит; надо знать, что делать с пешкой d4.","Принять центр, развиться, не попасть в ловушки на e5/d4.",Пешка d4 мешает развитию белых; чёрные играют на быстрые темпы.,Чёрные получают пространство и тактику за пешку.,"Белым нельзя механически играть e3, если есть тактические удары.",,,,
chigorin_defense,B,Queen’s Gambit,D07,Chigorin Defense,1. d4 d5 2. c4 Nc6 3. Nf3 Bg4 4. Nc3 e6,Активная защита против ферзевого гамбита; часто удивляет.,"Использовать то, что ...Nc6 блокирует c-пешку; развиться и давить на d5.","Фигурное давление на центр: ...Nc6, ...Bg4, ...e6.","Чёрные развиваются активно, но структура менее гибкая.","...Nc6 активно, но мешает ...c5: это стратегическая цена.",,,,
london_system,A,Queen’s Pawn Game,D02,London System,1. d4 Nf6 2. Bf4 d5 3. e3 c5 4. c3 Nc6 5. Nf3,Один из самых частых системных дебютов на клубном уровне.,"Bf4/e3/c3/Nf3/Bd3; играть e4 или атаку на короля, не засыпать.","...c5, ...Nc6, ...Qb6; немедленно давить на b2/d4.","Система против системы: чёрные должны бить центр, белые — найти активный план.",Лондон не выигрывает сам: нужен разрыв e4 или игра по королю.,,,,
jobava_london,B,Queen’s Pawn Game,D00,Jobava London,1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. e3 Bb4,Популярная современная атакующая система; часто ловит неподготовленных.,"Nc3+Bf4, e3, Qf3/O-O-O иногда; давление на c7/e4.","...e6, ...Bb4, ...c5; ударить центр и связать коня.","Более острый Лондон: белые получают развитие, но конь c3 блокирует c-пешку.",Чёрным полезна ранняя связка ...Bb4.,,,,
colle_zukertort,B,Queen’s Pawn Game,D04-D05,Colle-Zukertort System,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3 c5 5. b3,Системный дебют для понимания атаки через e4 и фианкетто b3.,Nf3/e3/Bd3/b3/Bb2; подготовить e4.,"...c5, ...Nc6, ...Bd6; не дать e4 бесплатно.",Белые строят фигуры для e4; чёрные давят на центр заранее.,"Ключ Colle — прорыв e4, а не «расставить фигуры и ждать».",,,,
torre_attack,B,Queen’s Pawn Game,D03,Torre Attack,1. d4 Nf6 2. Nf3 e6 3. Bg5 c5 4. e3,"Частая система против ...Nf6/...e6; похожа на Лондон, но со связкой.","Bg5, e3, Bd3, c3; давление на f6 и e4.","...c5, ...Qb6, ...Be7; атаковать d4/b2 и развязаться.",Белые играют через связку и e4; чёрные через давление на ферзевом фланге.,Связка Bg5 полезна только если она мешает ...e5/...c5.,,,,
trompowsky,B,Queen’s Pawn Game,A45,Trompowsky Attack,1. d4 Nf6 2. Bg5 Ne4 3. Bf4 c5 4. f3,"Анти-Индийский вариант, который ломает привычные схемы чёрных.","Bg5 провоцирует, затем f3/e4; играть нестандартную структуру.",...Ne4 или ...d5; не дать белым бесплатную пару слонов/центр.,Ранняя борьба за коня f6 и центр; много несимметричных структур.,"Если чёрные играют ...Ne4, белым нужно знать f3/e4-план.",,,,
stonewall_attack,C,Queen’s Pawn Game,A45/D00,Stonewall Attack,1. d4 d5 2. e3 Nf6 3. f4 c5 4. c3 Nc6 5. Bd3,"Системная атака, часто у начинающих; приложение должно объяснять слабые поля.","Фигурами на королевский фланг: Nf3, Bd3, O-O, Ne5, Qf3.","Бить по тёмным полям и центру: ...c5, ...Nc6, ...Bf5.","Белые получают контроль e5, но ослабляют e4 и диагонали.","Stonewall хорош, если конь закрепляется на e5; плох, если центр разваливается.",,,,
nimzo_rubinstein,A,Nimzo-Indian Defense,E40-E59,Nimzo-Indian — Rubinstein,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 6. Nf3,Фундаментальная защита к 1.d4: контроль центра фигурами и игра против структуры.,"e3, Bd3, Nf3, O-O; решить, когда играть a3/cxd5/e4.","Связка коня c3, давление на c4/e4, иногда ...d5 или ...c5.","Белые имеют центр, чёрные могут испортить структуру и играть по слабостям.","Смысл Nimzo — не атака на короля, а контроль e4 через связку.",,,,
nimzo_classical_qc2,A,Nimzo-Indian Defense,E32-E39,Nimzo-Indian — Classical 4.Qc2,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. a3 Bxc3+ 6. Qxc3,Белые избегают сдвоенных пешек и держат пару слонов.,"Qc2, a3, вернуть ферзём, затем e4 или Nf3/g3.","Быстро развиться и доказать, что темпы важнее пары слонов белых.","Белые имеют пару слонов, чёрные — темпы и шанс атаковать центр.","4.Qc2 дороже по темпам, но сохраняет структуру.",,,,
nimzo_saemisch,B,Nimzo-Indian Defense,E24-E29,Nimzo-Indian — Sämisch,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3,Классика структуры: белые получают пару слонов и слабые пешки.,"Пара слонов, e4, f3, расширение центра; играть активно до эндшпиля.","Бить по c4/c3, блокировать центр, провоцировать слабости.",Структурный дисбаланс: активность белых против слабых пешек.,"Если белые пассивны, сдвоенные пешки становятся чистой слабостью.",,,,
queen_indian_main,A,Queen’s Indian Defense,E12-E19,Queen’s Indian Defense — Main Line,1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 Bb4+,"Главная альтернатива Nimzo, когда белые играют 3.Nf3.","g3/Bg2, развиться, держать центр и c4.","...b6, ...Ba6, давление на c4 и белые поля.",Позиционная борьба за c4/e4 и диагонали.,...Ba6 — типовой удар по c4 и слабым белым полям.,,,,
bogo_indian,B,Bogo-Indian Defense,E11,Bogo-Indian Defense,1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Be7,Солидный способ избежать Queen’s Indian/Catalan теории.,"Bd2, g3/e3; развиться и получить небольшой плюс пространства.","Шахом заставить белых определиться, затем крепкая структура.","Много маневров, мало ранних тактик; важны диагонали и темпы.","Шах ...Bb4+ — способ навязать расстановку, не матовая атака.",,,,
kings_indian_classical,A,King’s Indian Defense,E90-E99,King’s Indian — Classical Main Line,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6,Главная школа закрытого центра и фланговых атак.,"d5, Be3, Nd2/f3, ферзевый фланг c5/b4; иногда королевская атака.","...e5, ...Nc6, ...f5; атака на короля после закрытия центра.","После d5 — белые играют на ферзевом фланге, чёрные на королевском.",В КИД направление атаки задаёт закрытый центр. | ...f5 — главный рычаг чёрных.,,,,
kings_indian_saemisch,A,King’s Indian Defense,E80-E89,King’s Indian — Sämisch,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3,Анти-КИД с сильным центром и готовностью к длинной рокировке.,"f3 поддерживает e4; Be3, Qd2, O-O-O или медленный центр.","...c5, ...e5, ...a6; подрывать до атаки белых.","Белые получают крепкий центр, чёрные ищут контрудар по нему.","f3 укрепляет центр, но замедляет развитие коня g1.",,,,
kings_indian_averbakh,B,King’s Indian Defense,E73-E75,King’s Indian — Averbakh,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5,Позиционный способ ограничить ...f5 и ...e5 идеи чёрных.,"Bg5, Be2, Qd2, h4 иногда; мешать ...e5/...f5.",...c5 или ...h6/ ...Na6; не дать белым комфортно связать структуру.,"Белые борются за профилактику, чёрные — за своевременный центральный подрыв.",Связка Bg5 часто провоцирует ...h6 и меняет план.,,,,
kings_indian_four_pawns,B,King’s Indian Defense,E76-E79,King’s Indian — Four Pawns Attack,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f4 O-O 6. Nf3,Максимальный центр белых; чёрным нужен точный подрыв.,"Большой центр, развитие, e5 или f5; не развалиться от ...c5/...e5.","...c5, ...e5, ...Na6; атаковать центр до того, как он пойдёт вперёд.","Белые сильны, если центр движется; чёрные сильны, если центр становится мишенью.",Четыре пешки — сила и слабость одновременно.,,,,
grunfeld_exchange,A,Grünfeld Defense,D85-D89,Grünfeld — Exchange Variation,1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7,Ключевая гипермодерная защита: чёрные дают центр и атакуют его.,"Большой центр c3/d4/e4, Be3/Qd2; продвигать центр осторожно.","...Bg7, ...c5, ...Qa5; давление на d4 и центр.",Белый центр против давления по диагонали g7-a1 и рычага ...c5.,"В Grünfeld белый центр — не подарок, а мишень.",,,,
grunfeld_russian,B,Grünfeld Defense,D97,Grünfeld — Russian System,1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O,Популярный способ белых вывести ферзя и давить на центр.,"Qb3/Qxc4, e4, развиться; следить за темпами на ферзя.","...dxc4, ...O-O, ...a6; атаковать ферзя и центр.","Ферзь белых активен, но может стать объектом темпов.","Ранний ферзь силён, если он не тормозит развитие.",,,,
catalan_open,A,Catalan Opening,E01-E09,Open Catalan,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4 5. Nf3 Be7 6. O-O O-O,Один из главных современных позиционных дебютов.,"Фианкетто, давление на c4/d5, вернуть пешку или получить компенсацию.","Принять c4, развиться, удержать пешку только если это не тормозит развитие.",Белые давят по диагонали g2-a8; чёрные решают судьбу пешки c4.,В Каталане пешка c4 часто вторична; важнее диагональ g2.,,,,
catalan_closed,A,Catalan Opening,E06-E09,Closed Catalan,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O,Солидная Каталонская структура без раннего взятия c4.,"Давление на d5, cxd5 или Ne5, медленное усиление.","...Be7, ...O-O, ...c6/ ...c5; держать центр.",Позиционная борьба за диагонали и центральные разрывы.,"Если чёрные не берут c4, белым надо найти другой источник давления.",,,,
modern_benoni,A,Benoni Defense,A60-A79,Modern Benoni,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6,Острая структура d5 против ...c5/...e6; нужна для понимания дисбалансов.,"Пространство d5/e4, e5 или f4; давить на d6.","...g6, ...Bg7, ...O-O, ...Re8, ...b5; контригра по флангам.","Белые имеют центр, чёрные атакуют слабые поля и ферзевый фланг.",d6 — частая цель белых. | ...b5 — главный ферзевый рычаг чёрных.,,,,
benko_gambit,B,Benoni Defense,A57-A59,Benko Gambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6,Гамбит с долгосрочным давлением по a/b-линиям; нужно знать концепцию.,Принять или отказаться; если принять — развиться и нейтрализовать линии.,Жертва пешки за открытые a/b-линии и давление на ферзевом фланге.,"Чёрные получают позиционную компенсацию, не одноходовую тактику.",Против Benko нельзя просто держать пешку и забыть о развитии.,,,,
dutch_leningrad,A,Dutch Defense,A80-A99,Dutch — Leningrad Variation,1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O,Главная современная Голландская: чёрные борются за e4 и атаку.,"g3/Bg2, Nf3, c4; давить на диагонали и поле e4.","...f5, ...g6, ...Bg7, ...d6, ...e5; королевская активность.",Чёрные получают активность ценой ослабления e6/e5/короля.,В Dutch поле e4 — центр вселенной.,,,,
dutch_stonewall,B,Dutch Defense,A90-A95,Dutch — Stonewall,1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nf3 d5 5. O-O Bd6,Структура с сильным e4 и слабым e5/c5; важно понимать планы обеих сторон.,"Бить по слабым полям e5/c5, менять плохого слона чёрных.","Контроль e4, атака на короля, слон d6, конь e4.","Чёрные получают форпост e4, но их слон c8 часто проблемный.","Против Stonewall белые часто играют b3/Ba3, чтобы менять слона d6.",,,,
dutch_classical,B,Dutch Defense,A90,Dutch — Classical Variation,1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nf3 Be7 5. O-O O-O,Более гибкая Голландская без Stonewall-структуры.,"Развитие, c4, Nc3; давить на e4/e5 и диагональ.","...Be7, ...O-O, ...d6/ ...Ne4; играть за королевский фланг.",Маневренная борьба за e4 и безопасность чёрного короля.,"Чёрным нужен активный план, иначе ...f5 станет только слабостью.",,,,
budapest_gambit,B,Queen’s Pawn Game,A51-A52,Budapest Gambit,1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Nf3 Nc6,Частый практический гамбит против 1.d4; надо знать спокойный ответ.,"Вернуть пешку при необходимости, развиться, не попасть под темпы.","Атаковать e5, развиться с темпом, иногда ...Bb4+.",Чёрные играют на активность за пешку; белые — на развитие и структуру.,Не держи пешку e5 любой ценой.,,,,
old_indian,C,Old Indian Defense,A53-A55,Old Indian Defense,1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3 Nbd7,Похожа на КИД без фианкетто; часто уводит из привычной теории.,"Развиться, d5 или e4, использовать пространство.","...e5, ...Nbd7, ...Be7; крепко, но пассивнее КИД.",Белые имеют пространство; чёрные ищут ...c6/...a5/...Nc5.,Сравни с КИД: без ...g6 чёрным труднее создать королевскую атаку.,,,,
english_symmetrical,A,English Opening,A30-A39,Symmetrical English,1. c4 c5 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7,"Главная Английская структура: симметрия, но много тонких планов.","g3/Bg2, Nc3, d4 в нужный момент; давление на диагонали.","Зеркальное развитие, ...d5 или ...e6; не дать белым бесплатный центр.",Борьба за d4/d5 и диагонали; часто транспонирует в Hedgehog.,"В English ход d4 — стратегическое решение, не автомат.",,,,
english_reversed_sicilian,A,English Opening,A20-A29,King’s English — Reversed Sicilian,1. c4 e5 2. Nc3 Nf6 3. g3 d5 4. cxd5 Nxd5 5. Bg2,Английская как Сицилианская с лишним темпом за белых.,"Фианкетто, давление на d5, выбор d3 или d4.",...d5 активно занимает центр; чёрные не должны играть пассивно.,"Белые получают гибкость, чёрные — ясный центр.","Лишний темп белых важен, но не превращает позицию в автоматический плюс.",,,,
english_four_knights,A,English Opening,A28-A29,English Four Knights,1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3,Одна из самых частых Английских табий.,"g3/Bg2, d3 или d4, игра по центру и диагонали.",...Bb4/ ...d5/ ...Bc5; активное развитие.,Фигурная борьба без раннего фиксированного центра.,Белые выбирают момент d4; чёрные пытаются навязать ...d5.,,,,
english_botvinnik,B,English Opening,A20-A29,English — Botvinnik System,1. c4 e5 2. g3 d6 3. Bg2 g6 4. Nc3 Bg7 5. e4,Системная Английская с зажимом d5.,"c4/e4, Nc3, Nge2, d3; контролировать d5 и играть f4.","...d6, ...g6, ...Nf6; подрывы ...f5 или ...c6/...d5.","Закрытая структура: белые давят на d5, чёрные ищут подрыв.",Контроль d5 — смысл Botvinnik setup.,,,,
english_mikenas,B,English Opening,A18-A19,Mikenas-Carls Variation,1. c4 Nf6 2. Nc3 e6 3. e4 d5 4. e5,Острый способ белых наказать пассивный ответ на Английскую.,"e4-e5, пространство, быстрый центр.",...d5 провоцирует закрытие; атаковать центр через ...d4/...c5.,"Белые получают пространство, чёрные — цели для подрыва.",Английская может внезапно стать острой e4-позицией.,,,,
reti_opening,A,Réti Opening,A09,Réti Opening,1. Nf3 d5 2. c4 d4 3. b4,Гипермодерный старт: белые атакуют центр флангами.,"Nf3/c4/b4/g3; давить на d5/d4, не спешить с d4.","Занять центр, но не перерасширяться; ...d4 требует поддержки.",Белые подрывают центр с флангов; чёрные пытаются удержать пространство.,В Réti отсутствие d4 — осознанная гибкость.,,,,
kings_indian_attack,A,King’s Indian Attack,A05-A08,King’s Indian Attack,1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5 5. d3,Универсальная система за белых против многих защит.,"Nf3/g3/Bg2/O-O/d3, затем e4 и атака на короля.","Занять центр, развить слона c8, не дать e4 бесплатно.",Белые строят индийскую атаку с лишним темпом; чёрные должны занять центр.,"Ключ KIA — подготовить e4, а не просто фианкетто.",,,,
nimzo_larsen,C,Nimzo-Larsen Attack,A01,Nimzo-Larsen Attack,1. b3 d5 2. Bb2 Nf6 3. e3 e6 4. Nf3,"Редкий, но логичный фианкетто-старт; важно знать базовые ответы.","Bb2, e3, Nf3, c4 или f4; давление на диагональ a1-h8.","Занять центр пешками, не дать белым бесплатное e4.","Белые играют по большой диагонали, чёрные занимают центр.",Против b3 лучший ответ — крепкий центр.,,,,
bird_opening,C,Bird Opening,A02-A03,Bird Opening,1. f4 d5 2. Nf3 Nf6 3. e3 g6 4. b3,Редкий фланговый старт; приложение должно подсказать центральный ответ.,"Контроль e5, Nf3/e3/b3/Bb2, иногда Stonewall.","...d5, ...Nf6, ...g6 или ...e6; бить по e4/e5 и не бояться центра.","Белые играют зеркальную Голландскую; сильны на e5, слабы на короле.",1.f4 ослабляет диагональ e1-h4: тактическая внимательность обязательна.,,,,
hippopotamus_setup,C,Universal Systems,A00/B06,Hippopotamus / Double Fianchetto Setup,1. g3 g6 2. Bg2 Bg7 3. d3 d6 4. e4 e6 5. Nf3 Ne7,"Гибкая система, часто в блице и у игроков, избегающих теории.","Занять центр аккуратно, не вскрывать игру без развития.","Гибко держать центр, потом ...c5/...e5; не стать слишком пассивным.",Закрытая маневренная игра; первый сильный центральный разрыв решает.,"Против Hippo не нужно «матовать сразу»: центр, развитие, затем разрыв.",,,,
